domain,hosts_in_use,category,status,owner,owner_profile_url,age_days,registered_date,website_url,edit_domain_id,source_page
allisons.org,967,website,public,lloydallison,https://freedns.afraid.org/tools/contact.php?user_id=317209&subject=allisons.org,6938,07/25/2007,http://www.allisons.org/,189998,1
ext.io,953,website,private,gordonheaton,https://freedns.afraid.org/tools/contact.php?user_id=825730&subject=ext.io,5092,08/14/2012,http://www.ext.io/,818480,1
dnet.hu,896,website,public,ende,https://freedns.afraid.org/tools/contact.php?user_id=283469&subject=dnet.hu,4834,04/28/2013,http://www.dnet.hu/,890330,1
jedimasters.net,890,website,public,will4me,https://freedns.afraid.org/tools/contact.php?user_id=516845&subject=jedimasters.net,6157,09/06/2009,http://www.jedimasters.net/,343629,1
mnode.net,875,website,public,flowinto,https://freedns.afraid.org/tools/contact.php?user_id=778058&subject=mnode.net,5469,08/03/2011,http://www.mnode.net/,700295,1
rwbcode.com,856,website,public,pcman,https://freedns.afraid.org/tools/contact.php?user_id=68541&subject=rwbcode.com,8118,05/02/2004,http://www.rwbcode.com/,19586,1
ve3.info,853,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=ve3.info,6169,09/01/2009,http://www.ve3.info/,342678,1
ctx.cl,845,website,public,cetrox,https://freedns.afraid.org/tools/contact.php?user_id=1871237&subject=ctx.cl,4389,07/18/2014,http://www.ctx.cl/,1007724,1
unibutton.com,841,website,public,mwong,https://freedns.afraid.org/tools/contact.php?user_id=53163&subject=unibutton.com,7651,08/12/2005,http://www.unibutton.com/,68020,1
xxxxx.tw,820,website,public,davidliang,https://freedns.afraid.org/tools/contact.php?user_id=503704&subject=xxxxx.tw,6216,07/16/2009,http://www.xxxxx.tw/,333333,1
networkguru.com,812,website,public,deepatel,https://freedns.afraid.org/tools/contact.php?user_id=1389067&subject=networkguru.com,4784,06/18/2013,http://www.networkguru.com/,904453,1
lovethosetrains.com,804,website,public,raypd,https://freedns.afraid.org/tools/contact.php?user_id=54445&subject=lovethosetrains.com,8212,01/29/2004,http://www.lovethosetrains.com/,14906,2
sne.jp,801,website,private,miton,https://freedns.afraid.org/tools/contact.php?user_id=363623&subject=sne.jp,5400,10/03/2011,http://www.sne.jp/,725892,2
jerkface.net,782,website,public,jerkface,https://freedns.afraid.org/tools/contact.php?user_id=4744&subject=jerkface.net,8828,05/23/2002,http://www.jerkface.net/,846,2
v0id.nl,777,website,public,redliner,https://freedns.afraid.org/tools/contact.php?user_id=201466&subject=v0id.nl,3840,01/16/2016,http://www.v0id.nl/,1134210,2
ps.ai,768,website,private,hdavy2005,https://freedns.afraid.org/tools/contact.php?user_id=304979&subject=ps.ai,5043,10/01/2012,http://www.ps.ai/,831929,2
ugo.si,762,website,public,ugob,https://freedns.afraid.org/tools/contact.php?user_id=260441&subject=ugo.si,7070,03/16/2007,http://www.ugo.si/,168110,2
auraria.org,755,website,public,shiokaze,https://freedns.afraid.org/tools/contact.php?user_id=270741&subject=auraria.org,7585,10/16/2005,http://www.auraria.org/,80312,2
lozan.com,739,website,public,imutluay,https://freedns.afraid.org/tools/contact.php?user_id=687267&subject=lozan.com,6768,01/12/2008,http://www.lozan.com/,219459,2
developer.li,735,website,public,piraces,https://freedns.afraid.org/tools/contact.php?user_id=3134781&subject=developer.li,2758,01/02/2019,http://www.developer.li/,1271067,2
myhomedns.net,730,website,public,calsha,https://freedns.afraid.org/tools/contact.php?user_id=1418143&subject=myhomedns.net,3283,07/28/2017,http://www.myhomedns.net/,1218043,2
d-n-s.org.uk,724,website,public,limit,https://freedns.afraid.org/tools/contact.php?user_id=31914&subject=d-n-s.org.uk,7992,09/05/2004,http://www.d-n-s.org.uk/,27349,2
sundby.com,694,website,public,sundbyk,https://freedns.afraid.org/tools/contact.php?user_id=661052&subject=sundby.com,5740,11/05/2010,http://www.sundby.com/,563188,2
